Outlet Type,Pond Name,Typical Noise Atten,Typical Noise Error,Plus 1cm Atten,Plus 1cm Error,Minus 1cm Atten,Minus 1cm Error,Plus 5cm Atten,Plus 5cm Error,Minus 5cm Atten,Minus 5cm Error
Rectangular,Elver ,2.5,24.2,3.2,2,3.4,-2.1,3,9.5,3.7,-11.2
Rectangular,HP Church,8.1,-11,7.1,2.5,7.5,-2.6,6.4,11.9,8.3,-14
Rectangular,Baxter,13.2,3.6,12.7,6,14.3,-6.3,10.3,23.8,18.3,-35.6
Trapezoidal,DobA7,13.4,-1.5,12.8,2.7,13.5,-2.8,11.5,12.7,15.1,-14.7
Rectangular,Greentree,16.1,-5.2,14.9,2.2,15.6,-2.2,13.7,10.2,17.1,-11.7
Rectangular,Midtown,18.9,5.5,19,4.6,20.9,-4.8,15.8,21.1,25.3,-26.7
V-notch,Manitou,38.2,0,37.3,2.4,39.1,-2.4,33.7,11.8,42.9,-12.4
Rectangular,Door Creek,40.7,-2.8,37.7,4.6,41.5,-5,31.5,20.4,50.8,-28.4
Culvert,Mad City,41.1,0.7,41.2,0.5,41.6,-0.6,40.4,2.3,42.9,-3.6
Culvert,Hosptial,43,-2.6,40.9,2.4,43,-2.5,37.1,11.5,47.4,-13.1
Culvert,Marion Dunn,44.3,-0.2,44,0.3,44.3,-0.4,43.3,2,45,-2
Culvert,Owen,47.2,-0.9,45.7,2.3,47.9,-2.4,41.7,10.8,52.7,-12.5
Culvert,DobA4,47.4,2.5,47.3,2.7,49.9,-2.7,42.4,12.7,55.5,-14.3
Rectangular,DobA8,52.6,-1,50.9,2.4,53.4,-2.4,46.1,11.5,58.7,-12.6
Rectangular,Comm Ave,71,0.3,70.6,0.8,71.7,-0.8,68.3,4,74.1,-4.1
Culvert,Two Fountains,73.3,2.7,74.1,1.6,76.5,-1.6,69.5,7.6,81.3,-7.9
Culvert,Lot 60,77.1,-7.4,70.3,2.1,73.4,-2.2,64.4,10.3,79.8,-11.1
V-notch,Garner,78.2,1.5,78,1.8,80,-0.7,76.6,3.6,82.2,-3.4
V-notch,DobA5,85.6,-0.9,84.3,0.6,85.3,-0.6,82.1,3.2,87.3,-2.9
