Outlet Type,Pond Name,Typical Noise Atten,Typical Noise Error,Plus 1cm Atten,Plus 1cm Error,Minus 1cm Atten,Minus 1cm Error,Plus 5cm Atten,Plus 5cm Error,Minus 5cm Atten,Minus 5cm Error
Rectangular,Elver ,2.5,24.2,2.5,2.1,2.6,-2.2,-4.3,270.4,9.3,-272.4
V-notch,Garner,78.2,1.5,75.4,2.1,77.6,-0.8,73.8,4.1,80,-3.9
V-notch,DobA5,85.6,-0.9,82.4,0.7,83.6,-0.7,80,3.5,85.7,-3.3
V-notch,Manitou,38.2,0,35.7,2.3,37.4,-2.4,32.4,11.3,41.1,-12.6
Rectangular,Midtown,18.9,5.5,13,5.1,14.5,-5.4,10.6,22.9,17.9,-30.1
Rectangular,Baxter,13.2,3.6,9.1,5,10.1,-5.3,7.4,22.2,12.4,-30.3
Rectangular,DobA8,52.6,-1,46,2.3,48.2,-2.4,41.8,11.1,52.9,-12.4
Rectangular,HP Church,8.1,-11,5.1,2.5,5.4,-2.6,4.7,11.6,6,-13.7
Rectangular,Door Creek,40.7,-2.8,27.4,5.6,30.7,-6.1,22,23.9,41.1,-41.7
Rectangular,Comm Ave,71,0.3,65.9,0.9,67.1,-1,63.4,4.6,69.7,-4.8
Rectangular,Greentree,16.1,-5.2,14.3,2.2,15,-2.3,13.1,10.5,16.4,-12.1
Trapezoidal,DobA7,13.4,-1.5,11.7,2.5,12.3,-2.5,10.6,11.6,13.6,-13.5
Culvert,Lot 60,77.1,-7.4,64.5,2.6,68,-2.7,58.1,12.4,75.4,-13.8
Culvert,Two Fountains,73.3,2.7,70.9,1.7,73.4,-1.8,66,8.5,78.6,-9
Culvert,DobA4,47.4,2.5,44.1,2.8,46.7,-2.8,39.5,13,52.1,-14.9
Culvert,Marion Dunn,44.3,-0.2,41,0.4,41.3,-0.4,40.3,2.2,42,-2.1
Culvert,Mad City,41.1,0.7,35.2,0.5,35.6,-0.6,34.7,2.1,35.8,-0.9
Culvert,Owen,47.2,-0.9,40.3,2.4,42.3,-2.5,36.7,11.2,46.7,-13.1
Culvert,Hosptial,43,-2.6,34.2,2.9,36.3,-3,30.4,13.6,40.8,-16
