Pond Name,Contant.Water.Level.6in,Outlet.Water.Level,Below.Outlet.Water.Level,Pond.Skewness,Pond.Variance
Hospital,44.60969693,29.17341977,44.15101535,1.323205998,0.716537105
Lot60,49.24216252,6.231009771,39.10990637,-0.830210427,0.241184926
Garner,38.99543379,20.83965066,7.631333954,1.207660727,0.24853055
DobA7,51.87801944,46.934255,58.81723921,2.157653259,0.139740912
Owen,19.30155859,21.33446815,94.21866411,-0.503042266,0.822463528
HPChurch,59.35224294,55.86039907,23.08294495,2.551262319,0.292787662
DobA8,52.09775029,50.56043382,57.27323474,-0.144172538,0.174222161
Midtown,43.55271492,45.2697645,60.95583578,-0.583480159,0.316790804
Elver,69.56332884,67.02982058,69.61385717,0.721141895,0.13827564
TwoFountains,54.10083485,25.15432518,62.76072118,-0.50009008,0.155898261
Greentree,73.70825108,47.58115202,42.80453584,1.939112772,0.081470191
MarionDunn,30.48948456,28.43054158,39.97722096,0.811593077,0.948461574
Manitou,47.36104705,29.5118916,0,2.332400492,0.165809906
MadCity,38.25030044,6.70236765,35.7034429,-0.214342251,0.31774927
Baxter,53.12256952,30.3281273,96.73239022,0.503708866,0.072967926
DobA22,46.83759233,0.389464301,99.48637406,1.468565571,1.478353814
DobA5,79.15196586,14.75714618,5.631377686,1.290461626,0.092949308
DobA4,53.62736433,25.38271168,2.547286548,0.455831295,0.26083779
DoorCreek,74.48695484,0,55.83565355,1.050986355,0.053315065
CommAve,49.39186084,48.08807411,45.83318601,0.680338784,0.212469242
